date,area,name,uri
2016-04-11,western,K. Towns,/players/t/townska01.html
2016-04-11,eastern,P. Millsap,/players/m/millspa01.html
2016-04-04,western,J. Barea,/players/b/bareajo01.html
2016-04-04,eastern,L. James,/players/j/jamesle01.html
2016-03-28,western,K. Thompson,/players/t/thompkl01.html
2016-03-28,eastern,L. James,/players/j/jamesle01.html
2016-03-21,western,K. Durant,/players/d/duranke01.html
2016-03-21,eastern,K. Lowry,/players/l/lowryky01.html
2016-03-14,western,S. Curry,/players/c/curryst01.html
2016-03-14,eastern,K. Walker,/players/w/walkeke02.html
2016-03-07,western,K. Leonard,/players/l/leonaka01.html
2016-03-07,eastern,L. James,/players/j/jamesle01.html
2016-02-29,western,S. Curry,/players/c/curryst01.html
2016-02-29,eastern,K. Lowry,/players/l/lowryky01.html
2016-02-08,western,L. Aldridge,/players/a/aldrila01.html
2016-02-08,eastern,I. Thomas,/players/t/thomais02.html
2016-02-01,western,K. Durant,/players/d/duranke01.html
2016-02-01,eastern,D. Wade,/players/w/wadedw01.html
2016-01-25,western,D. Cousins,/players/c/couside01.html
2016-01-25,eastern,K. Walker,/players/w/walkeke02.html
2016-01-18,western,K. Durant,/players/d/duranke01.html
2016-01-18,eastern,J. Wall,/players/w/walljo01.html
2016-01-11,western,C. Paul,/players/p/paulch01.html
2016-01-11,eastern,L. James,/players/j/jamesle01.html
2016-01-04,western,D. Green,/players/g/greendr01.html
2016-01-04,eastern,B. Lopez,/players/l/lopezbr01.html
2015-12-28,western,R. Westbrook,/players/w/westbru01.html
2015-12-28,eastern,M. Gortat,/players/g/gortama01.html
2015-12-21,western,K. Leonard,/players/l/leonaka01.html
2015-12-21,eastern,R. Jackson,/players/j/jacksre01.html
2015-12-14,western,K. Durant,/players/d/duranke01.html
2015-12-14,eastern,D. DeRozan,/players/d/derozde01.html
2015-12-07,western,S. Curry,/players/c/curryst01.html
2015-12-07,eastern,R. Jackson,/players/j/jacksre01.html
2015-11-30,western,K. Durant,/players/d/duranke01.html
2015-11-30,eastern,P. George,/players/g/georgpa01.html
2015-11-23,western,S. Curry,/players/c/curryst01.html
2015-11-23,eastern,L. James,/players/j/jamesle01.html
2015-11-16,western,D. Cousins,/players/c/couside01.html
2015-11-16,eastern,N. Batum,/players/b/batumni01.html
2015-11-09,western,J. Harden,/players/h/hardeja01.html
