short_name,name,league,from,to,years,games,wins,losses,win_loss_pct,years_playoffs,years_division_champion,years_conference_champion,years_league_champion,2002_short,2003_short,2004_short,2005_short,2006_short,2007_short,2008_short,2009_short,2010_short,2011_short,2012_short,2013_short,2014_short,2015_short,2016_short
ATL,Atlanta Hawks,NBA,1950,2017,68,5319,2659,2660,.500,45,11,0,1,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL
BOS,Boston Celtics,NBA/BAA,1947,2017,71,5492,3229,2263,.588,53,30,9,17,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS
NJN,Brooklyn Nets,NBA/ABA,1968,2017,50,3989,1738,2251,.436,26,5,2,2,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,BRK,BRK,BRK,BRK
CHA,Charlotte Hornets,NBA,1989,2017,27,2097,924,1173,.441,10,0,0,0,CHH,,,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHO,CHO
CHI,Chicago Bulls,NBA,1967,2017,51,4065,2124,1941,.523,34,9,6,6,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI
CLE,Cleveland Cavaliers,NBA,1971,2017,47,3736,1738,1998,.465,20,5,3,1,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE
DAL,Dallas Mavericks,NBA,1981,2017,37,2917,1484,1433,.509,21,3,2,1,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL
DEN,Denver Nuggets,NBA/ABA,1968,2017,50,3989,1981,2008,.497,33,10,0,0,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN
DET,Detroit Pistons,NBA/BAA,1949,2017,69,5383,2622,2761,.487,41,11,5,3,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET
GSW,Golden State Warriors,NBA/BAA,1947,2017,71,5488,2602,2886,.474,32,9,3,4,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW
HOU,Houston Rockets,NBA,1968,2017,50,3984,2061,1923,.517,30,5,4,2,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU
IND,Indiana Pacers,NBA/ABA,1968,2017,50,3990,2040,1950,.511,32,9,1,3,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND
LAC,Los Angeles Clippers,NBA,1971,2017,47,3739,1482,2257,.396,12,2,0,0,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC
LAL,Los Angeles Lakers,NBA/BAA,1949,2017,69,5383,3242,2141,.602,60,32,18,16,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL
MEM,Memphis Grizzlies,NBA,1996,2017,22,1688,703,985,.416,9,0,0,0,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM
MIA,Miami Heat,NBA,1989,2017,29,2261,1174,1087,.519,19,12,5,3,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA
MIL,Milwaukee Bucks,NBA,1969,2017,49,3901,1989,1912,.510,28,13,2,1,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL
MIN,Minnesota Timberwolves,NBA,1990,2017,28,2179,851,1328,.391,8,1,0,0,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN
NOH,New Orleans Pelicans,NBA,2003,2017,15,1146,532,614,.464,6,1,0,0,,NOH,NOH,NOH,NOK,NOK,NOH,NOH,NOH,NOH,NOH,NOH,NOP,NOP,NOP
NYK,New York Knicks,NBA/BAA,1947,2017,71,5488,2707,2781,.493,42,8,4,2,NYK,NYK,NYK,NYK,NYK,NYK,NYK,NYK,NYK,NYK,NYK,NYK,NYK,NYK,NYK
OKC,Oklahoma City Thunder,NBA,1968,2017,50,3984,2147,1837,.539,28,11,4,1,SEA,SEA,SEA,SEA,SEA,SEA,SEA,OKC,OKC,OKC,OKC,OKC,OKC,OKC,OKC
ORL,Orlando Magic,NBA,1990,2017,28,2180,1068,1112,.490,14,5,2,0,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL
PHI,Philadelphia 76ers,NBA,1950,2017,68,5318,2730,2588,.513,47,11,5,3,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI
PHO,Phoenix Suns,NBA,1969,2017,49,3903,2126,1777,.545,29,6,2,0,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO
POR,Portland Trail Blazers,NBA,1971,2017,47,3739,1999,1740,.535,32,5,3,1,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR
SAC,Sacramento Kings,NBA/BAA,1949,2017,69,5383,2469,2914,.459,29,5,0,1,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC
SAS,San Antonio Spurs,NBA/ABA,1968,2017,50,3990,2395,1595,.600,44,21,6,5,SAS,SAS,SAS,SAS,SAS,SAS,SAS,SAS,SAS,SAS,SAS,SAS,SAS,SAS,SAS
TOR,Toronto Raptors,NBA,1996,2017,22,1688,742,946,.440,8,4,0,0,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR
UTA,Utah Jazz,NBA,1975,2017,43,3411,1822,1589,.534,25,8,2,0,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA
WAS,Washington Wizards,NBA,1962,2017,56,4464,2008,2456,.450,27,7,4,1,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS
