team_id,area,name,game_count,win_count,win_pct,started_count,minutes_played,field_goals,field_goal_attempts,field_goal_pct,three_point_field_goals,three_point_field_goal_attempts,three_point_field_goal_pct,free_throws,free_throw_attempts,free_throw_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,daily_fantasy_sports_points,uri,is_pow
MIA,E,Dwyane Wade,4,4,1.0,4,34.56666666666667,8.5,16.0,0.53125,0.0,0.25,0.0,5.0,6.25,0.8,2.25,3.25,5.5,6.5,2.0,0.5,2.0,1.5,22.0,20.55,16.0,,/players/w/wadedw01.html,0
POR,W,Joel Freeland,2,1,0.5,0,7.625,2.5,3.5,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,2.0,0.5,0.0,0.0,0.0,1.0,5.0,4.3,-2.5,,/players/f/freeljo01.html,0
WAS,E,Bradley Beal,1,1,1.0,0,20.333333333333332,5.0,10.0,0.5,3.0,4.0,0.75,0.0,0.0,0.0,1.0,5.0,6.0,1.0,1.0,1.0,2.0,3.0,13.0,9.4,8.0,,/players/b/bealbr01.html,0
NYK,E,J.R. Smith,4,0,0.0,0,31.262500000000003,5.75,16.0,0.359375,2.0,5.75,0.34782608695652173,5.0,6.5,0.7692307692307693,0.0,3.5,3.5,3.0,0.5,0.0,2.5,2.5,18.5,9.15,-16.75,,/players/s/smithjr01.html,0
CLE,E,Omri Casspi,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,/players/c/casspom01.html,0
PHI,E,Dorell Wright,3,2,0.6666666666666666,0,23.722222222222225,5.0,9.333333333333334,0.5357142857142857,3.0,5.333333333333333,0.5625,0.6666666666666666,0.6666666666666666,1.0,0.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.3333333333333333,1.0,0.6666666666666666,13.666666666666666,11.433333333333332,6.666666666666667,,/players/w/wrighdo01.html,0
MEM,W,Darrell Arthur,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,/players/a/arthuda01.html,0
LAC,W,Lamar Odom,2,1,0.5,0,24.4,3.0,6.0,0.5,0.5,2.5,0.2,0.5,1.0,0.5,2.5,4.0,6.5,1.5,1.5,0.5,0.5,3.0,7.0,7.95,-2.0,,/players/o/odomla01.html,0
DEN,W,Andre Iguodala,3,3,1.0,3,32.19444444444445,3.6666666666666665,7.333333333333333,0.5,0.6666666666666666,2.0,0.3333333333333333,1.3333333333333333,3.0,0.4444444444444444,0.0,5.333333333333333,5.333333333333333,6.666666666666667,2.0,0.3333333333333333,1.6666666666666667,0.3333333333333333,9.333333333333334,11.699999999999998,16.666666666666668,,/players/i/iguodan01.html,0
OKC,W,Reggie Jackson,4,3,0.75,0,13.979166666666668,1.75,4.75,0.3684210526315789,0.75,2.0,0.375,1.0,1.0,1.0,0.5,2.0,2.5,1.75,1.0,0.0,0.5,1.75,5.25,4.6,0.25,,/players/j/jacksre01.html,0
LAL,W,Chris Duhon,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,/players/d/duhonch01.html,0
LAC,W,Jamal Crawford,2,1,0.5,0,34.05833333333334,3.0,12.5,0.24,1.0,6.5,0.15384615384615385,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.5,0.0,1.5,0.0,7.0,-0.25,5.5,,/players/c/crawfja01.html,0
GSW,W,Klay Thompson,4,3,0.75,4,37.87083333333334,6.5,15.0,0.43333333333333335,2.75,6.5,0.4230769230769231,0.75,1.5,0.5,0.25,3.0,3.25,1.25,1.5,0.5,1.75,2.25,16.5,9.45,7.75,,/players/t/thompkl01.html,0
DET,E,Charlie Villanueva,2,0,0.0,0,13.725000000000001,0.5,3.5,0.14285714285714285,0.0,2.0,0.0,0.5,1.0,0.5,0.5,1.0,1.5,0.5,0.0,0.5,1.5,2.0,1.5,-1.9000000000000001,-5.5,,/players/v/villach01.html,0
UTA,W,Mo Williams,3,2,0.6666666666666666,3,27.78888888888889,5.333333333333333,11.333333333333334,0.4705882352941176,0.6666666666666666,2.0,0.3333333333333333,1.3333333333333333,2.0,0.6666666666666666,0.0,2.3333333333333335,2.3333333333333335,5.0,1.0,0.3333333333333333,2.0,2.6666666666666665,12.666666666666666,8.966666666666667,-2.6666666666666665,,/players/w/willima01.html,0
SAS,W,Matt Bonner,1,0,0.0,1,18.3,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,5.0,,/players/b/bonnema01.html,0
CHA,E,Bismack Biyombo,3,1,0.3333333333333333,3,25.07777777777778,1.3333333333333333,2.6666666666666665,0.5,0.0,0.0,0.0,1.0,1.3333333333333333,0.75,2.6666666666666665,3.6666666666666665,6.333333333333333,0.3333333333333333,1.0,1.3333333333333333,1.0,2.0,3.6666666666666665,5.533333333333334,1.0,,/players/b/biyombi01.html,0
PHO,W,Marcin Gortat,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,/players/g/gortama01.html,0
GSW,W,Draymond Green,4,3,0.75,0,9.658333333333333,0.25,2.0,0.125,0.0,0.75,0.0,0.25,0.5,0.5,0.25,3.0,3.25,0.75,0.5,0.25,0.25,1.75,0.75,0.6749999999999999,5.75,,/players/g/greendr01.html,0
UTA,W,Marvin Williams,3,2,0.6666666666666666,0,25.07777777777778,2.6666666666666665,5.666666666666667,0.4705882352941176,0.6666666666666666,1.6666666666666667,0.39999999999999997,1.6666666666666667,2.0,0.8333333333333334,1.3333333333333333,3.3333333333333335,4.666666666666667,2.3333333333333335,1.6666666666666667,0.0,0.0,0.3333333333333333,7.666666666666667,9.733333333333333,4.0,,/players/w/willima02.html,0
WAS,E,Leandro Barbosa,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,/players/b/barbole01.html,0
OKC,W,Jeremy Lamb,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,/players/l/lambje01.html,0
CHI,E,Kirk Hinrich,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,/players/h/hinriki01.html,0
IND,E,Orlando Johnson,3,1,0.3333333333333333,0,15.927777777777777,2.3333333333333335,5.0,0.4666666666666667,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,5.666666666666667,5.5,-7.333333333333333,,/players/j/johnsor01.html,0
BRK,E,Joe Johnson,2,0,0.0,2,37.108333333333334,7.5,13.5,0.5555555555555556,3.5,6.5,0.5384615384615384,0.5,1.0,0.5,1.5,1.0,2.5,4.5,0.5,0.0,1.5,1.5,19.0,15.25,-10.0,,/players/j/johnsjo02.html,0
