team,date,count,win,loss,cur_count,cur_win,cur_loss
POR,2001-11-04,4,1,3,4,1,3
POR,2001-11-11,8,4,4,4,3,1
POR,2001-11-18,11,6,5,3,2,1
POR,2001-11-25,14,7,7,3,1,2
POR,2001-12-02,17,9,8,3,2,1
POR,2001-12-09,19,10,9,2,1,1
POR,2001-12-16,22,11,11,3,1,2
POR,2001-12-23,26,13,13,4,2,2
POR,2001-12-30,29,13,16,3,0,3
POR,2002-01-06,32,14,18,3,1,2
POR,2002-01-13,37,18,19,5,4,1
POR,2002-01-20,40,20,20,3,2,1
POR,2002-01-27,42,22,20,2,2,0
POR,2002-02-03,46,25,21,4,3,1
POR,2002-02-17,51,27,24,5,2,3
POR,2002-02-24,55,31,24,4,4,0
POR,2002-03-03,59,35,24,4,4,0
POR,2002-03-10,63,38,25,4,3,1
POR,2002-03-17,65,40,25,2,2,0
POR,2002-03-24,69,43,26,4,3,1
POR,2002-03-31,73,44,29,4,1,3
POR,2002-04-07,82,49,33,9,5,4
NJN,2001-11-04,4,3,1,4,3,1
NJN,2001-11-11,6,5,1,2,2,0
NJN,2001-11-18,9,7,2,3,2,1
NJN,2001-11-25,14,9,5,5,2,3
NJN,2001-12-02,16,10,6,2,1,1
NJN,2001-12-09,19,12,7,3,2,1
NJN,2001-12-16,22,15,7,3,3,0
NJN,2001-12-23,25,16,9,3,1,2
NJN,2001-12-30,28,19,9,3,3,0
NJN,2002-01-06,32,21,11,4,2,2
NJN,2002-01-13,35,24,11,3,3,0
NJN,2002-01-20,39,27,12,4,3,1
NJN,2002-01-27,43,29,14,4,2,2
NJN,2002-02-03,45,31,14,2,2,0
NJN,2002-02-17,51,34,17,6,3,3
NJN,2002-02-24,55,38,17,4,4,0
NJN,2002-03-03,58,39,19,3,1,2
NJN,2002-03-10,62,39,23,4,0,4
NJN,2002-03-17,66,42,24,4,3,1
NJN,2002-03-24,70,45,25,4,3,1
NJN,2002-03-31,74,47,27,4,2,2
NJN,2002-04-07,82,52,30,8,5,3
SAS,2001-11-04,4,2,2,4,2,2
SAS,2001-11-11,7,5,2,3,3,0
SAS,2001-11-18,9,7,2,2,2,0
SAS,2001-11-25,12,9,3,3,2,1
SAS,2001-12-02,15,11,4,3,2,1
SAS,2001-12-09,18,14,4,3,3,0
SAS,2001-12-16,21,17,4,3,3,0
SAS,2001-12-23,25,20,5,4,3,1
SAS,2001-12-30,28,21,7,3,1,2
SAS,2002-01-06,31,23,8,3,2,1
SAS,2002-01-13,34,25,9,3,2,1
SAS,2002-01-20,38,27,11,4,2,2
SAS,2002-01-27,42,29,13,4,2,2
SAS,2002-02-03,46,30,16,4,1,3
SAS,2002-02-17,51,33,18,5,3,2
SAS,2002-02-24,55,35,20,4,2,2
SAS,2002-03-03,59,38,21,4,3,1
SAS,2002-03-10,62,41,21,3,3,0
SAS,2002-03-17,66,45,21,4,4,0
SAS,2002-03-24,69,48,21,3,3,0
SAS,2002-03-31,73,49,24,4,1,3
SAS,2002-04-07,82,58,24,9,9,0
SEA,2001-11-04,3,1,2,3,1,2
SEA,2001-11-11,8,3,5,5,2,3
SEA,2001-11-18,11,4,7,3,1,2
SEA,2001-11-25,15,7,8,4,3,1
SEA,2001-12-02,19,9,10,4,2,2
SEA,2001-12-09,23,9,14,4,0,4
SEA,2001-12-16,26,11,15,3,2,1
SEA,2001-12-23,29,14,15,3,3,0
SEA,2001-12-30,31,16,15,2,2,0
SEA,2002-01-06,33,17,16,2,1,1
SEA,2002-01-13,36,19,17,3,2,1
SEA,2002-01-20,39,20,19,3,1,2
SEA,2002-01-27,43,23,20,4,3,1
SEA,2002-02-03,46,23,23,3,0,3
SEA,2002-02-17,52,27,25,6,4,2
SEA,2002-02-24,56,30,26,4,3,1
SEA,2002-03-03,60,33,27,4,3,1
SEA,2002-03-10,63,36,27,3,3,0
SEA,2002-03-17,67,37,30,4,1,3
SEA,2002-03-24,70,39,31,3,2,1
SEA,2002-03-31,74,43,31,4,4,0
SEA,2002-04-07,82,45,37,8,2,6
MIA,2001-11-04,3,1,2,3,1,2
MIA,2001-11-11,6,2,4,3,1,2
MIA,2001-11-18,9,2,7,3,0,3
MIA,2001-11-25,12,2,10,3,0,3
MIA,2001-12-02,15,2,13,3,0,3
MIA,2001-12-09,18,3,15,3,1,2
MIA,2001-12-16,22,5,17,4,2,2
MIA,2001-12-23,25,5,20,3,0,3
MIA,2001-12-30,28,5,23,3,0,3
MIA,2002-01-06,31,8,23,3,3,0
MIA,2002-01-13,34,8,26,3,0,3
MIA,2002-01-20,38,12,26,4,4,0
MIA,2002-01-27,42,15,27,4,3,1
MIA,2002-02-03,46,18,28,4,3,1
MIA,2002-02-17,50,20,30,4,2,2
MIA,2002-02-24,54,23,31,4,3,1
MIA,2002-03-03,57,25,32,3,2,1
MIA,2002-03-10,61,28,33,4,3,1
MIA,2002-03-17,64,30,34,3,2,1
MIA,2002-03-24,68,31,37,4,1,3
MIA,2002-03-31,72,32,40,4,1,3
MIA,2002-04-07,82,36,46,10,4,6
DET,2001-11-04,4,3,1,4,3,1
DET,2001-11-11,6,4,2,2,1,1
DET,2001-11-18,8,6,2,2,2,0
DET,2001-11-25,12,8,4,4,2,2
DET,2001-12-02,16,11,5,4,3,1
DET,2001-12-09,19,13,6,3,2,1
DET,2001-12-16,21,14,7,2,1,1
DET,2001-12-23,25,14,11,4,0,4
DET,2001-12-30,28,15,13,3,1,2
DET,2002-01-06,31,16,15,3,1,2
DET,2002-01-13,35,17,18,4,1,3
DET,2002-01-20,38,19,19,3,2,1
DET,2002-01-27,41,21,20,3,2,1
DET,2002-02-03,45,24,21,4,3,1
DET,2002-02-17,50,28,22,5,4,1
DET,2002-02-24,54,31,23,4,3,1
DET,2002-03-03,57,34,23,3,3,0
DET,2002-03-10,61,35,26,4,1,3
DET,2002-03-17,64,37,27,3,2,1
DET,2002-03-24,69,41,28,5,4,1
DET,2002-03-31,73,44,29,4,3,1
DET,2002-04-07,82,50,32,9,6,3
CHH,2001-11-04,3,2,1,3,2,1
CHH,2001-11-11,6,3,3,3,1,2
CHH,2001-11-18,9,4,5,3,1,2
CHH,2001-11-25,13,6,7,4,2,2
CHH,2001-12-02,16,7,9,3,1,2
CHH,2001-12-09,20,9,11,4,2,2
CHH,2001-12-16,23,11,12,3,2,1
CHH,2001-12-23,27,12,15,4,1,3
CHH,2001-12-30,30,13,17,3,1,2
CHH,2002-01-06,32,14,18,2,1,1
CHH,2002-01-13,36,17,19,4,3,1
CHH,2002-01-20,39,18,21,3,1,2
CHH,2002-01-27,43,20,23,4,2,2
CHH,2002-02-03,46,23,23,3,3,0
CHH,2002-02-17,51,25,26,5,2,3
CHH,2002-02-24,55,27,28,4,2,2
CHH,2002-03-03,59,29,30,4,2,2
CHH,2002-03-10,62,30,32,3,1,2
CHH,2002-03-17,65,32,33,3,2,1
CHH,2002-03-24,69,36,33,4,4,0
CHH,2002-03-31,72,38,34,3,2,1
CHH,2002-04-07,82,44,38,10,6,4
UTA,2001-11-04,4,1,3,4,1,3
UTA,2001-11-11,7,2,5,3,1,2
UTA,2001-11-18,11,4,7,4,2,2
UTA,2001-11-25,13,5,8,2,1,1
UTA,2001-12-02,17,6,11,4,1,3
UTA,2001-12-09,20,9,11,3,3,0
UTA,2001-12-16,24,11,13,4,2,2
UTA,2001-12-23,28,13,15,4,2,2
UTA,2001-12-30,31,16,15,3,3,0
UTA,2002-01-06,33,17,16,2,1,1
UTA,2002-01-13,36,19,17,3,2,1
UTA,2002-01-20,40,21,19,4,2,2
UTA,2002-01-27,44,22,22,4,1,3
UTA,2002-02-03,47,25,22,3,3,0
UTA,2002-02-17,53,29,24,6,4,2
UTA,2002-02-24,55,31,24,2,2,0
UTA,2002-03-03,58,32,26,3,1,2
UTA,2002-03-10,62,34,28,4,2,2
UTA,2002-03-17,66,36,30,4,2,2
UTA,2002-03-24,69,38,31,3,2,1
UTA,2002-03-31,73,41,32,4,3,1
UTA,2002-04-07,82,44,38,9,3,6
TOR,2001-11-04,4,2,2,4,2,2
TOR,2001-11-11,7,4,3,3,2,1
TOR,2001-11-18,11,7,4,4,3,1
TOR,2001-11-25,15,9,6,4,2,2
TOR,2001-12-02,18,11,7,3,2,1
TOR,2001-12-09,21,12,9,3,1,2
TOR,2001-12-16,24,12,12,3,0,3
TOR,2001-12-23,27,15,12,3,3,0
TOR,2001-12-30,30,16,14,3,1,2
TOR,2002-01-06,33,18,15,3,2,1
TOR,2002-01-13,37,20,17,4,2,2
TOR,2002-01-20,41,24,17,4,4,0
TOR,2002-01-27,45,26,19,4,2,2
TOR,2002-02-03,47,27,20,2,1,1
TOR,2002-02-17,54,29,25,7,2,5
TOR,2002-02-24,58,29,29,4,0,4
TOR,2002-03-03,61,29,32,3,0,3
TOR,2002-03-10,65,30,35,4,1,3
TOR,2002-03-17,67,30,37,2,0,2
TOR,2002-03-24,70,32,38,3,2,1
TOR,2002-03-31,73,35,38,3,3,0
TOR,2002-04-07,82,42,40,9,7,2
MIL,2001-11-04,3,3,0,3,3,0
MIL,2001-11-11,5,4,1,2,1,1
MIL,2001-11-18,7,6,1,2,2,0
MIL,2001-11-25,10,9,1,3,3,0
MIL,2001-12-02,14,9,5,4,0,4
MIL,2001-12-09,17,11,6,3,2,1
MIL,2001-12-16,20,13,7,3,2,1
MIL,2001-12-23,24,15,9,4,2,2
MIL,2001-12-30,27,18,9,3,3,0
MIL,2002-01-06,31,18,13,4,0,4
MIL,2002-01-13,34,21,13,3,3,0
MIL,2002-01-20,38,25,13,4,4,0
MIL,2002-01-27,42,26,16,4,1,3
MIL,2002-02-03,45,27,18,3,1,2
MIL,2002-02-17,50,29,21,5,2,3
MIL,2002-02-24,54,32,22,4,3,1
MIL,2002-03-03,58,34,24,4,2,2
MIL,2002-03-10,62,35,27,4,1,3
MIL,2002-03-17,64,36,28,2,1,1
MIL,2002-03-24,68,37,31,4,1,3
MIL,2002-03-31,72,38,34,4,1,3
MIL,2002-04-07,82,41,41,10,3,7
ORL,2001-11-04,3,2,1,3,2,1
ORL,2001-11-11,7,3,4,4,1,3
ORL,2001-11-18,11,5,6,4,2,2
ORL,2001-11-25,14,7,7,3,2,1
ORL,2001-12-02,17,8,9,3,1,2
ORL,2001-12-09,21,11,10,4,3,1
ORL,2001-12-16,26,12,14,5,1,4
ORL,2001-12-23,29,13,16,3,1,2
ORL,2001-12-30,32,15,17,3,2,1
ORL,2002-01-06,35,17,18,3,2,1
ORL,2002-01-13,39,19,20,4,2,2
ORL,2002-01-20,42,21,21,3,2,1
ORL,2002-01-27,45,23,22,3,2,1
ORL,2002-02-03,48,24,24,3,1,2
ORL,2002-02-17,52,27,25,4,3,1
ORL,2002-02-24,55,29,26,3,2,1
ORL,2002-03-03,59,31,28,4,2,2
ORL,2002-03-10,63,33,30,4,2,2
ORL,2002-03-17,66,36,30,3,3,0
ORL,2002-03-24,69,37,32,3,1,2
ORL,2002-03-31,73,40,33,4,3,1
ORL,2002-04-07,82,44,38,9,4,5
IND,2001-11-04,4,2,2,4,2,2
IND,2001-11-11,8,6,2,4,4,0
IND,2001-11-18,12,6,6,4,0,4
IND,2001-11-25,16,8,8,4,2,2
IND,2001-12-02,20,10,10,4,2,2
IND,2001-12-09,23,12,11,3,2,1
IND,2001-12-16,25,13,12,2,1,1
IND,2001-12-23,29,16,13,4,3,1
IND,2001-12-30,32,18,14,3,2,1
IND,2002-01-06,35,20,15,3,2,1
IND,2002-01-13,38,21,17,3,1,2
IND,2002-01-20,42,21,21,4,0,4
IND,2002-01-27,46,23,23,4,2,2
IND,2002-02-03,49,25,24,3,2,1
IND,2002-02-17,53,26,27,4,1,3
IND,2002-02-24,55,27,28,2,1,1
IND,2002-03-03,59,29,30,4,2,2
IND,2002-03-10,63,31,32,4,2,2
IND,2002-03-17,66,34,32,3,3,0
IND,2002-03-24,69,35,34,3,1,2
IND,2002-03-31,72,36,36,3,1,2
IND,2002-04-07,82,42,40,10,6,4
CLE,2001-11-04,4,1,3,4,1,3
CLE,2001-11-11,7,1,6,3,0,3
CLE,2001-11-18,11,2,9,4,1,3
CLE,2001-11-25,14,4,10,3,2,1
CLE,2001-12-02,17,6,11,3,2,1
CLE,2001-12-09,20,8,12,3,2,1
CLE,2001-12-16,23,9,14,3,1,2
CLE,2001-12-23,27,11,16,4,2,2
CLE,2001-12-30,30,12,18,3,1,2
CLE,2002-01-06,33,13,20,3,1,2
CLE,2002-01-13,37,13,24,4,0,4
CLE,2002-01-20,40,13,27,3,0,3
CLE,2002-01-27,43,13,30,3,0,3
CLE,2002-02-03,46,14,32,3,1,2
CLE,2002-02-17,51,18,33,5,4,1
CLE,2002-02-24,55,20,35,4,2,2
CLE,2002-03-03,59,21,38,4,1,3
CLE,2002-03-10,63,23,40,4,2,2
CLE,2002-03-17,66,24,42,3,1,2
CLE,2002-03-24,69,25,44,3,1,2
CLE,2002-03-31,73,25,48,4,0,4
CLE,2002-04-07,82,29,53,9,4,5
ATL,2001-11-04,3,1,2,3,1,2
ATL,2001-11-11,7,1,6,4,0,4
ATL,2001-11-18,10,3,7,3,2,1
ATL,2001-11-25,14,5,9,4,2,2
ATL,2001-12-02,18,6,12,4,1,3
ATL,2001-12-09,21,7,14,3,1,2
ATL,2001-12-16,23,9,14,2,2,0
ATL,2001-12-23,27,10,17,4,1,3
ATL,2001-12-30,30,11,19,3,1,2
ATL,2002-01-06,32,12,20,2,1,1
ATL,2002-01-13,36,13,23,4,1,3
ATL,2002-01-20,39,13,26,3,0,3
ATL,2002-01-27,43,14,29,4,1,3
ATL,2002-02-03,47,15,32,4,1,3
ATL,2002-02-17,52,19,33,5,4,1
ATL,2002-02-24,56,20,36,4,1,3
ATL,2002-03-03,58,21,37,2,1,1
ATL,2002-03-10,61,22,39,3,1,2
ATL,2002-03-17,65,25,40,4,3,1
ATL,2002-03-24,69,28,41,4,3,1
ATL,2002-03-31,73,29,44,4,1,3
