team,date,count,win,loss
MIL,2013-11-04,4,2,2
MIL,2013-11-11,6,2,4
MIL,2013-11-18,10,2,8
MIL,2013-11-25,14,2,12
MIL,2013-12-02,17,3,14
MIL,2013-12-09,21,5,16
MIL,2013-12-16,25,5,20
MIL,2013-12-23,29,6,23
MIL,2013-12-30,31,7,24
MIL,2014-01-06,34,7,27
MIL,2014-01-13,38,7,31
MIL,2014-01-20,41,8,33
MIL,2014-01-27,45,8,37
MIL,2014-02-03,49,9,40
MIL,2014-02-10,52,9,43
MIL,2014-02-24,57,11,46
MIL,2014-03-03,60,12,48
MIL,2014-03-10,64,13,51
MIL,2014-03-17,68,13,55
MIL,2014-03-24,72,14,58
MIL,2014-03-31,75,14,61
MIL,2014-04-07,78,14,64
MIL,2014-04-14,82,15,67
UTA,2013-11-04,4,0,4
UTA,2013-11-11,9,1,8
UTA,2013-11-18,13,1,12
UTA,2013-11-25,17,2,15
UTA,2013-12-02,20,4,16
UTA,2013-12-09,24,5,19
UTA,2013-12-16,28,7,21
UTA,2013-12-23,32,9,23
UTA,2013-12-30,35,11,24
UTA,2014-01-06,37,12,25
UTA,2014-01-13,40,13,27
UTA,2014-01-20,43,14,29
UTA,2014-01-27,46,16,30
UTA,2014-02-03,49,16,33
UTA,2014-02-10,51,18,33
UTA,2014-02-24,57,21,36
UTA,2014-03-03,61,21,40
UTA,2014-03-10,65,22,43
UTA,2014-03-17,69,22,47
UTA,2014-03-24,72,23,49
UTA,2014-03-31,76,24,52
UTA,2014-04-07,78,24,54
UTA,2014-04-14,82,25,57
PHO,2013-11-04,4,3,1
PHO,2013-11-11,8,5,3
PHO,2013-11-18,10,5,5
PHO,2013-11-25,15,8,7
PHO,2013-12-02,18,9,9
PHO,2013-12-09,21,12,9
PHO,2013-12-16,24,14,10
PHO,2013-12-23,28,17,11
PHO,2013-12-30,31,19,12
PHO,2014-01-06,33,20,13
PHO,2014-01-13,38,22,16
PHO,2014-01-20,41,24,17
PHO,2014-01-27,45,27,18
PHO,2014-02-03,48,29,19
